"","DOID:114","DOID:2531","DOID:14250","DOID:409","DOID:2841","DOID:0110741","DOID:3230","DOID:850","DOID:417","DOID:557","DOID:9970"
"DOID:2531,DOID:409,DOID:0110741,DOID:9970",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:409,DOID:3230,DOID:850",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:409,DOID:3230,DOID:417",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:409,DOID:3230,DOID:557",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:409,DOID:3230,DOID:9970",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:409,DOID:850,DOID:417",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:409,DOID:850,DOID:557",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:409,DOID:850,DOID:9970",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:409,DOID:417,DOID:557",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:409,DOID:417,DOID:9970",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:409,DOID:557,DOID:9970",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:2841,DOID:0110741,DOID:3230",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:2841,DOID:0110741,DOID:850",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:2841,DOID:0110741,DOID:417",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:2841,DOID:0110741,DOID:557",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:2841,DOID:0110741,DOID:9970",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:2841,DOID:3230,DOID:850",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:2841,DOID:3230,DOID:417",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:2841,DOID:3230,DOID:557",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:2841,DOID:3230,DOID:9970",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:2841,DOID:850,DOID:417",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:2841,DOID:850,DOID:557",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:2841,DOID:850,DOID:9970",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:2841,DOID:417,DOID:557",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:2841,DOID:417,DOID:9970",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:2841,DOID:557,DOID:9970",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:0110741,DOID:3230,DOID:850",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:0110741,DOID:3230,DOID:417",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:0110741,DOID:3230,DOID:557",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:0110741,DOID:3230,DOID:9970",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:0110741,DOID:850,DOID:417",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:0110741,DOID:850,DOID:557",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:0110741,DOID:850,DOID:9970",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:0110741,DOID:417,DOID:557",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:0110741,DOID:417,DOID:9970",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:0110741,DOID:557,DOID:9970",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:3230,DOID:850,DOID:417",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:3230,DOID:850,DOID:557",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:3230,DOID:850,DOID:9970",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:3230,DOID:417,DOID:557",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:3230,DOID:417,DOID:9970",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:3230,DOID:557,DOID:9970",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:850,DOID:417,DOID:557",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:850,DOID:417,DOID:9970",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:850,DOID:557,DOID:9970",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:417,DOID:557,DOID:9970",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:14250,DOID:409,DOID:2841,DOID:0110741",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:409,DOID:2841,DOID:3230",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:409,DOID:2841,DOID:850",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:409,DOID:2841,DOID:417",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:409,DOID:2841,DOID:557",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:409,DOID:2841,DOID:9970",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:409,DOID:0110741,DOID:3230",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:409,DOID:0110741,DOID:850",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:409,DOID:0110741,DOID:417",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:409,DOID:0110741,DOID:557",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:409,DOID:0110741,DOID:9970",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:409,DOID:3230,DOID:850",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:409,DOID:3230,DOID:417",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:409,DOID:3230,DOID:557",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:409,DOID:3230,DOID:9970",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:409,DOID:850,DOID:417",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:409,DOID:850,DOID:557",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:409,DOID:850,DOID:9970",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:409,DOID:417,DOID:557",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:409,DOID:417,DOID:9970",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:409,DOID:557,DOID:9970",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:2841,DOID:0110741,DOID:3230",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:2841,DOID:0110741,DOID:850",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:2841,DOID:0110741,DOID:417",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:2841,DOID:0110741,DOID:557",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:2841,DOID:0110741,DOID:9970",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:2841,DOID:3230,DOID:850",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:2841,DOID:3230,DOID:417",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
